pdf_id|page_num|block_num|par_num|line_num|line_top|textstub|label
4739|3|1|1|1|83|Chicago Police Department...|header1
4739|3|6|1|1|122|=- ARRESTREP NG...|header2
4739|3|6|1|2|161|_, ATTESTING OFFICER:...|reporting_personnel
4739|3|6|1|3|197|"I | hereby declare and af..."|reporting_personnel
4739|3|6|1|4|220|% knowledge, information ...|reporting_personnel
4739|3|6|1|5|262|O...|reporting_personnel
4739|3|6|1|6|286|g Attesting Officer: #950...|reporting_personnel
4739|3|6|1|7|328|U ARRESTING OFFIGER(S):...|reporting_personnel
4739|3|6|1|8|371|@ Beat...|reporting_personnel
4739|3|6|1|9|401|_2-: 1st Arresting Office...|reporting_personnel
4739|3|6|1|10|428|E 2nd Arresting Officer: ...|reporting_personnel
4739|3|6|1|11|470|Q APEROVING SUPERVISOR:...|reporting_personnel
4739|3|7|1|1|515|w Approval of Probable Ca...|reporting_personnel
4739|3|8|1|1|2055|Print Generated By: TOUSA...|footer
4739|3|9|1|1|2080|powered byz ELE@ Technolb...|footer
4739|3|10|1|1|2207|CPD 0001212...|footer
4739|4|1|1|1|83|Chicago Police Department...|header1
4739|4|1|2|1|124|: ARRESTPROCESSING REPORT...|header2
4739|4|4|1|1|165|Holding Facility: Distric...|lockup_keeper_processing
4739|4|1|3|1|169|Time Last Fed: 04 October...|lockup_keeper_processing
4739|4|4|1|2|199|Received in Lockup: 04 Oc...|lockup_keeper_processing
4739|4|1|3|2|205|Time Called: Phone#:...|lockup_keeper_processing
4739|4|4|1|3|234|Prints Taken: 04 October ...|lockup_keeper_processing
4739|4|1|3|3|245|Cell #:...|lockup_keeper_processing
4739|4|4|1|4|268|Palmprints Taken: Yes...|lockup_keeper_processing
4739|4|4|2|1|305|Photograph Taken: 04 Octo...|lockup_keeper_processing
4739|4|6|1|1|307|Transport Details : 2PO 0...|lockup_keeper_processing
4739|4|11|1|1|325|LOCKUP KEEPER PROCESSING...|lockup_keeper_processing
4739|4|8|1|1|414|Is there obvious pain or ...|lockup_keeper_processing
4739|4|8|1|2|445|Is there obvious signs of...|lockup_keeper_processing
4739|4|8|2|1|477|Under the influence of al...|lockup_keeper_processing
4739|4|8|2|2|508|Signs of alcohol/drug wit...|lockup_keeper_processing
4739|4|8|2|3|539|Appears to be despondent?...|lockup_keeper_processing
4739|4|8|2|4|571|Appears to be irrational?...|lockup_keeper_processing
4739|4|8|2|5|603|Carrying medication? No...|lockup_keeper_processing
4739|4|9|1|1|691|RETURN TO HOLDING FACILIT...|lockup_keeper_processing
4739|4|9|1|2|729|QUESTIONNAIRE REMARKS: ‘...|lockup_keeper_processing
4739|4|13|1|1|875|LOCKUP KEEPER COMMENTS!...|lockup_keeper_processing
4739|4|13|1|2|920|EMERGENCY CONTACT...|lockup_keeper_processing
4739|4|13|1|3|958|Name : REFUSED...|lockup_keeper_processing
4739|4|13|2|1|1000|Res: Beat:...|lockup_keeper_processing
4739|4|19|1|1|1229|5]...|lockup_keeper_processing
4739|4|19|1|2|1250|Q...|lockup_keeper_processing
4739|4|19|1|3|1274|o...|lockup_keeper_processing
4739|4|19|1|4|1300|=...|lockup_keeper_processing
4739|4|19|1|5|1330|it...|lockup_keeper_processing
4739|4|18|1|1|1338|NO INTERVIEWS LOGGED...|lockup_keeper_processing
4739|4|19|1|6|1351|=...|lockup_keeper_processing
4739|4|19|1|7|1378|o...|lockup_keeper_processing
4739|4|19|1|8|1401|E...|lockup_keeper_processing
4739|4|19|1|9|1440|z...|lockup_keeper_processing
4739|4|22|1|1|1515|VISITOR LOG...|visitor_log
4739|4|21|1|1|1607|NO VISITORS LOGGED...|visitor_log
4739|4|25|1|1|2055|Print Generated By: TOUSA...|footer
4739|4|25|1|2|2080|powered byz ELE@ Technolb...|footer
4739|4|26|1|1|2207|CPD 0001213...|footer
4739|5|1|1|1|83|Chicago Police Department...|header1
4739|5|1|1|2|124|"i | ARREST PROCGESSING RE..."|header2
4739|5|4|1|1|193|MOVEMENT LOG...|movement_log
4739|5|3|1|1|299|MOVEMENT LOG INFORMATION ...|movement_log
4739|5|6|1|1|486|Watch Commander Comments:...|wc_comments
4739|5|8|1|2|523|REL w/o CHARGING...|wc_comments
4739|5|8|1|1|536|WE COMMENTS...|wc_comments
4739|5|7|1|1|596|DOES NOT APPLY TO THIS AR...|wc_comments
4739|5|9|1|1|856|RRESTEE PROCESSING PERSON...|processing_personnel
4739|5|12|1|1|894|i Beat...|processing_personnel
4739|5|12|1|2|930|it} Searched By: ELLINGTO...|processing_personnel
4739|5|12|2|1|956|£ Lockup Keeper: #10153 S...|processing_personnel
4739|5|12|3|1|998|O Assisting Arresting Off...|processing_personnel
4739|5|12|3|2|1022|g Assisting Arresting Off...|processing_personnel
4739|5|12|3|3|1064|g_i Fingerprinted By: #93...|processing_personnel
4739|5|12|4|1|1109|() APPROVAL PERSONNEL:...|processing_personnel
4739|5|12|5|1|1136|% Beat...|processing_personnel
4739|5|12|6|1|1187|8 Final Approval of Charg...|processing_personnel
4739|5|12|7|1|1227|Q...|processing_personnel
4739|5|12|8|1|1250|Q...|processing_personnel
4739|5|12|9|1|1270|4...|processing_personnel
4739|5|12|10|1|1295|o...|processing_personnel
4739|5|12|11|1|2055|Print Generated By: TOUSA...|footer
4739|5|13|1|1|2080|powered byz ELE@ Technolb...|footer
4739|5|14|1|1|2207|CPD 0001214...|footer
4944|2|11|1|1|51|on + I...|header0
4944|2|1|1|1|83|Chicago Police Department...|header1
4944|2|13|1|1|100|WILLIAMS, Omar...|header0
4944|2|4|1|1|183|RECOVERED...|recovered_narcotics
4944|2|4|1|2|190|NARCOTICS...|recovered_narcotics
4944|2|3|1|1|299|NO NARCOTICS RECOVERED...|recovered_narcotics
4944|2|5|1|1|413|Warrant No Issue Date Typ...|warrant
4944|2|12|1|1|413|Case...|warrant
4944|2|14|1|1|413|County...|warrant
4944|2|8|1|1|435|WARRANT...|warrant
4944|2|5|1|2|441|Leads No Amount...|warrant
4944|2|12|1|2|441|Docket No...|warrant
4944|2|6|1|1|485|BK1109558 28-SEP-11 Parol...|warrant
4944|2|15|1|1|485|Cook...|warrant
4944|2|7|1|1|516|Remarks: IDOC WARRANT FOR...|warrant
4944|2|7|1|2|545|IDOC @ 1812 HOURS - TRACE...|warrant
4944|2|9|1|1|2055|Print Generated By: DEL R...|footer
4944|2|17|1|1|2055|40822.45...|footer
4944|2|10|1|1|2080|powered byz ELE@ Technolb...|footer
4944|2|18|1|1|2207|CPD 0002104...|footer
4944|4|1|1|1|67|CB #:...|header0
4944|4|1|1|2|83|Chicago Police Department...|header1
4944|4|2|1|1|122|ARREST REPORTING...|header2
4944|4|4|1|1|247|Injuries....|non_offenders
4944|4|5|1|1|2055|Print Generated By: DEL R...|footer
4944|4|5|1|2|2080|powered byz ELE@ Technolb...|footer
4944|4|6|1|1|2207|CPD 0002106...|footer
4944|5|2|1|1|67|CB #:...|header0
4944|5|2|1|2|83|Chicago Police Department...|header1
4944|5|2|1|3|122|REPORTING...|header2
4944|5|4|1|1|122|T...|header2
4944|5|5|1|1|247|GUNSHOT- DECEASED...|non_offenders
4944|5|5|1|2|283|Comments: Gunshot- Deceas...|non_offenders
4944|5|6|1|1|466|VICTIMAND COMPLAINANT...|non_offenders
4944|5|10|1|1|511|Name: i Male Injured? Yes...|non_offenders
4944|5|10|1|2|544|Res: Beat:1331 Black...|non_offenders
4944|5|10|1|3|580|DOB: Hospitalized?Yes...|non_offenders
4944|5|10|1|4|615|Age:23 years Cook County...|non_offenders
4944|5|10|1|5|649|Treated and Released?Yes...|non_offenders
4944|5|10|1|6|2055|Print Generated By: DEL R...|footer
4944|5|11|1|1|2080|powered byz ELE@ Technolb...|footer
4944|5|12|1|1|2207|CPD 0002107...|footer
4944|6|1|1|1|67|CB#:)...|header0
4944|6|2|1|1|83|Chicago Police Department...|header1
4944|6|3|1|1|122|ARREST REPORTING...|header2
4944|6|5|1|1|247|Injuries:...|non_offenders
4944|6|6|1|1|2055|Print Generated By: DEL R...|footer
4944|6|7|1|1|2095|powered by: CLE ﬁ Techaol...|footer
4944|6|8|1|1|2207|CPD 0002108...|footer
4944|7|1|1|1|67|CB #:...|header0
4944|7|1|1|2|83|Chicago Police Department...|header1
4944|7|5|1|1|122|=- ARREST REPORTING...|header2
4944|7|5|1|2|247|GUNSHOT WOUNDS...|non_offenders
4944|7|5|1|3|284|Comments:...|non_offenders
4944|7|5|1|4|466|VICTIM AND COMPLAINANT...|non_offenders
4944|7|5|1|5|511|Name:STATE OF ILLINOIS In...|non_offenders
4944|7|5|1|6|580|DOB: Hospitalized?No...|non_offenders
4944|7|5|1|7|617|Age:...|non_offenders
4944|7|5|1|8|649|Treated and Released?No...|non_offenders
4944|7|5|1|9|683|Comments:...|non_offenders
4944|7|5|1|10|790|Vehicle: VEHICLE IMPOUNDE...|arrestee_vehicle
4944|7|5|1|11|822|1997 Automobile - Mercury...|arrestee_vehicle
4944|7|7|1|1|850|ARRESTEE...|arrestee_vehicle
4944|7|5|1|12|852|Unknown...|arrestee_vehicle
4944|7|7|1|2|866|VEHICLE...|arrestee_vehicle
4944|7|5|1|13|886|Color: Black (Top) / Blac...|arrestee_vehicle
4944|7|5|1|14|921|Pound#:...|arrestee_vehicle
4944|7|6|1|1|960|Disposition: Impounded- P...|arrestee_vehicle
4944|7|10|1|1|1083|Confiscated Properties :...|properties
4944|7|10|1|2|1114|) All confiscated propert...|properties
4944|7|10|1|3|1134|L documents related to ev...|properties
4944|7|13|1|1|1156|PROPERTI...|properties
4944|7|12|1|1|1202|PROPERTIES INFORMATION FO...|properties
4944|7|14|1|1|1360|(The facts for probable c...|incident_narrative
4944|7|15|1|1|1398|EVENT ADDRESS OF ARREST...|incident_narrative
4944|7|17|1|1|1452|g THIS IS AN ON VIEW ARRE...|incident_narrative
4944|7|17|1|2|1494|= CUSTODY AFTER OFFENDER ...|incident_narrative
4944|7|17|1|3|1521|é SHOT VICTIM AND WHO SHO...|incident_narrative
4944|7|17|1|4|1558|o VEHICLE WAS A TAURUS .4...|incident_narrative
4944|7|17|1|5|1586|g IN COLOR, AND LOADED WI...|incident_narrative
4944|7|17|1|6|1622|e ROUNDS IN THE MAGAZINE....|incident_narrative
4944|7|17|1|7|1653|2 INVENTORIED UNDER # GUN...|incident_narrative
4944|7|17|1|8|1679|"lé"" 0009 HOURS. OFFENDER ..."|incident_narrative
4944|7|17|1|9|1722|O...|incident_narrative
4944|7|17|1|10|1749|2 NAME CHECK CLEAR HAS I....|incident_narrative
4944|7|17|1|11|1813|OFFENDER HAS NO BOND MONE...|incident_narrative
4944|7|17|1|12|1853|SEE WC COMMENTS SECTION F...|incident_narrative
4944|7|17|1|13|2055|Print Generated By: DEL R...|footer
4944|7|18|1|1|2095|powered buy: CLE ﬁ Techao...|footer
4944|7|19|1|1|2207|CPD 0002109...|footer
4944|8|1|1|1|67|CB #:...|header0
4944|8|1|1|2|83|Chicago Police Department...|header1
4944|8|3|1|1|122|ARRE NG...|header2
4944|8|5|1|1|167|Desired Court Date: 29 Se...|court_info
4944|8|5|1|2|203|Branch: 66 2600 S CALIFOR...|court_info
4944|8|8|1|1|207|COURT INEO...|court_info
4944|8|7|1|1|215|o...|court_info
4944|8|7|1|2|237|[P...|court_info
4944|8|5|1|3|241|Court Sgt Handle? No...|court_info
4944|8|7|1|3|255|£...|court_info
4944|8|5|1|4|281|Initial Court Date: 28 Se...|court_info
4944|8|6|1|1|281|BOND INFORMATION NOT AVAI...|court_info
